id,UID,FRIEND_UID,USER_SOCIAL_ID,FRIEND_SOCIAL_ID,SOCIAL_TYPE,REASON,CREATED_AT,UPDATED_AT
1739,YOWuCpUaPTh812MmQje7Cg3sEAy2,u1t59cRQ1QUjXVklhJFqPG3Rm1k1,YOWuCpUaPTh812MmQje7Cg3sEAy2,u1t59cRQ1QUjXVklhJFqPG3Rm1k1,ondee,referer,2019-07-17 21:37:52,2019-07-17 21:37:52
1740,u1t59cRQ1QUjXVklhJFqPG3Rm1k1,YOWuCpUaPTh812MmQje7Cg3sEAy2,u1t59cRQ1QUjXVklhJFqPG3Rm1k1,YOWuCpUaPTh812MmQje7Cg3sEAy2,ondee,referee,2019-07-17 21:37:52,2019-07-17 21:37:52
1741,U9pyGW0VLxQjSG0NuAUUTirUACC3,2ovfuY0AtXNuhGVQKbESuDvPrTx2,U9pyGW0VLxQjSG0NuAUUTirUACC3,2ovfuY0AtXNuhGVQKbESuDvPrTx2,ondee,referer,2019-07-17 21:37:56,2019-07-17 21:37:56
1742,2ovfuY0AtXNuhGVQKbESuDvPrTx2,U9pyGW0VLxQjSG0NuAUUTirUACC3,2ovfuY0AtXNuhGVQKbESuDvPrTx2,U9pyGW0VLxQjSG0NuAUUTirUACC3,ondee,referee,2019-07-17 21:37:56,2019-07-17 21:37:56
1743,1vU6pmIeIuOGj4ysVyGCqdKrO7b2,lDM8FGZJVygKnKo6t1gzuyAMyqe2,1vU6pmIeIuOGj4ysVyGCqdKrO7b2,lDM8FGZJVygKnKo6t1gzuyAMyqe2,ondee,referer,2019-07-17 21:38:15,2019-07-17 21:38:15
1744,lDM8FGZJVygKnKo6t1gzuyAMyqe2,1vU6pmIeIuOGj4ysVyGCqdKrO7b2,lDM8FGZJVygKnKo6t1gzuyAMyqe2,1vU6pmIeIuOGj4ysVyGCqdKrO7b2,ondee,referee,2019-07-17 21:38:15,2019-07-17 21:38:15
1745,wAKtwBBvwaOBwflYdrLOAsHCT0o1,AL4NrrGHHoOCdbGO29Rm8MFki3E2,wAKtwBBvwaOBwflYdrLOAsHCT0o1,10157328712423948,facebook,upload_friends uploader,2019-07-17 21:47:25,2019-07-17 21:47:25
1746,AL4NrrGHHoOCdbGO29Rm8MFki3E2,wAKtwBBvwaOBwflYdrLOAsHCT0o1,10157328712423948,wAKtwBBvwaOBwflYdrLOAsHCT0o1,facebook,upload_friends,2019-07-17 21:47:25,2019-07-17 21:47:25
1747,wAKtwBBvwaOBwflYdrLOAsHCT0o1,BMKykbASx0d0eJuI3ePXSMKYFh12,wAKtwBBvwaOBwflYdrLOAsHCT0o1,10219749152543065,facebook,upload_friends uploader,2019-07-17 21:47:25,2019-07-17 21:47:25
1748,BMKykbASx0d0eJuI3ePXSMKYFh12,wAKtwBBvwaOBwflYdrLOAsHCT0o1,10219749152543065,wAKtwBBvwaOBwflYdrLOAsHCT0o1,facebook,upload_friends,2019-07-17 21:47:25,2019-07-17 21:47:25
1749,vsUWlDKGARNtRfDWdjDChYNCWJZ2,y0V0JpZdDEac4FQEc3JOihVdWDs1,vsUWlDKGARNtRfDWdjDChYNCWJZ2,y0V0JpZdDEac4FQEc3JOihVdWDs1,ondee,referer,2019-07-17 21:59:15,2019-07-17 21:59:15
1750,y0V0JpZdDEac4FQEc3JOihVdWDs1,vsUWlDKGARNtRfDWdjDChYNCWJZ2,y0V0JpZdDEac4FQEc3JOihVdWDs1,vsUWlDKGARNtRfDWdjDChYNCWJZ2,ondee,referee,2019-07-17 21:59:15,2019-07-17 21:59:15
1751,56DFDTRALVP9PExD77tMAPUSHUI2,FhHOtrkxuiguGDyDezlAYrVPuvo1,56DFDTRALVP9PExD77tMAPUSHUI2,10157256199185782,facebook,upload_friends uploader,2019-07-17 22:03:59,2019-07-17 22:03:59
1752,FhHOtrkxuiguGDyDezlAYrVPuvo1,56DFDTRALVP9PExD77tMAPUSHUI2,10157256199185782,56DFDTRALVP9PExD77tMAPUSHUI2,facebook,upload_friends,2019-07-17 22:03:59,2019-07-17 22:03:59
1753,SW0B3GfYKJaqWVaDFjc0JxN63pN2,EAYxTQp988gNbCWf1AB4erVdnjM2,SW0B3GfYKJaqWVaDFjc0JxN63pN2,EAYxTQp988gNbCWf1AB4erVdnjM2,ondee,referer,2019-07-17 22:05:47,2019-07-17 22:05:47
1754,EAYxTQp988gNbCWf1AB4erVdnjM2,SW0B3GfYKJaqWVaDFjc0JxN63pN2,EAYxTQp988gNbCWf1AB4erVdnjM2,SW0B3GfYKJaqWVaDFjc0JxN63pN2,ondee,referee,2019-07-17 22:05:47,2019-07-17 22:05:47
1755,jctAbnpdSFdZjaFBHNDfmqsDnAG3,BdEFHHZCgybJp6Ue8Gkx5lbCHlS2,jctAbnpdSFdZjaFBHNDfmqsDnAG3,BdEFHHZCgybJp6Ue8Gkx5lbCHlS2,ondee,referer,2019-07-17 22:20:01,2019-07-17 22:20:01
1756,BdEFHHZCgybJp6Ue8Gkx5lbCHlS2,jctAbnpdSFdZjaFBHNDfmqsDnAG3,BdEFHHZCgybJp6Ue8Gkx5lbCHlS2,jctAbnpdSFdZjaFBHNDfmqsDnAG3,ondee,referee,2019-07-17 22:20:01,2019-07-17 22:20:01
1757,B0HSCp2u1xNZDZQOgqjxwyVUFhe2,op2l4cq7YTRxKnmxa9GT45qfShw1,B0HSCp2u1xNZDZQOgqjxwyVUFhe2,op2l4cq7YTRxKnmxa9GT45qfShw1,ondee,referer,2019-07-17 22:22:14,2019-07-17 22:22:14
1758,op2l4cq7YTRxKnmxa9GT45qfShw1,B0HSCp2u1xNZDZQOgqjxwyVUFhe2,op2l4cq7YTRxKnmxa9GT45qfShw1,B0HSCp2u1xNZDZQOgqjxwyVUFhe2,ondee,referee,2019-07-17 22:22:14,2019-07-17 22:22:14
1759,onm5eQS0q1e9P4S15uJW2H2wDnK2,35wqc1vh0OOubuAFNMYmI8ldvC33,onm5eQS0q1e9P4S15uJW2H2wDnK2,35wqc1vh0OOubuAFNMYmI8ldvC33,ondee,referer,2019-07-17 22:36:03,2019-07-17 22:36:03
1760,35wqc1vh0OOubuAFNMYmI8ldvC33,onm5eQS0q1e9P4S15uJW2H2wDnK2,35wqc1vh0OOubuAFNMYmI8ldvC33,onm5eQS0q1e9P4S15uJW2H2wDnK2,ondee,referee,2019-07-17 22:36:03,2019-07-17 22:36:03
1761,onm5eQS0q1e9P4S15uJW2H2wDnK2,EPk1lMyANaUuyDJI7MLKip5FROA2,onm5eQS0q1e9P4S15uJW2H2wDnK2,EPk1lMyANaUuyDJI7MLKip5FROA2,ondee,referer,2019-07-17 22:41:20,2019-07-17 22:41:20
1762,EPk1lMyANaUuyDJI7MLKip5FROA2,onm5eQS0q1e9P4S15uJW2H2wDnK2,EPk1lMyANaUuyDJI7MLKip5FROA2,onm5eQS0q1e9P4S15uJW2H2wDnK2,ondee,referee,2019-07-17 22:41:20,2019-07-17 22:41:20
1763,Vr9zHeGTYWWgGzIyYlVDjYv84M62,QIv87wnGRLhCNr6wHNRseF2bXLK2,Vr9zHeGTYWWgGzIyYlVDjYv84M62,QIv87wnGRLhCNr6wHNRseF2bXLK2,ondee,referer,2019-07-17 22:43:22,2019-07-17 22:43:22
1764,QIv87wnGRLhCNr6wHNRseF2bXLK2,Vr9zHeGTYWWgGzIyYlVDjYv84M62,QIv87wnGRLhCNr6wHNRseF2bXLK2,Vr9zHeGTYWWgGzIyYlVDjYv84M62,ondee,referee,2019-07-17 22:43:22,2019-07-17 22:43:22
1765,oq4HgbegtPhknbPhQU9F1kcAayB2,afVOkD3VIlNrn1imiqcOF4zOHUI3,oq4HgbegtPhknbPhQU9F1kcAayB2,afVOkD3VIlNrn1imiqcOF4zOHUI3,ondee,referer,2019-07-17 22:47:31,2019-07-17 22:47:31
1766,afVOkD3VIlNrn1imiqcOF4zOHUI3,oq4HgbegtPhknbPhQU9F1kcAayB2,afVOkD3VIlNrn1imiqcOF4zOHUI3,oq4HgbegtPhknbPhQU9F1kcAayB2,ondee,referee,2019-07-17 22:47:31,2019-07-17 22:47:31
1767,ygUprJQdg2bkyzAQJ4FWQTRc1nk1,ZQIIAG27gYOD0Ri7zqxwji8ChtB2,ygUprJQdg2bkyzAQJ4FWQTRc1nk1,ZQIIAG27gYOD0Ri7zqxwji8ChtB2,ondee,referer,2019-07-17 22:58:59,2019-07-17 22:58:59
1768,ZQIIAG27gYOD0Ri7zqxwji8ChtB2,ygUprJQdg2bkyzAQJ4FWQTRc1nk1,ZQIIAG27gYOD0Ri7zqxwji8ChtB2,ygUprJQdg2bkyzAQJ4FWQTRc1nk1,ondee,referee,2019-07-17 22:58:59,2019-07-17 22:58:59
1769,iCm067UnBPdCy3bJWz7rhKTzLay2,bB4avRqagOhnofPHAgX6ipIou3k1,iCm067UnBPdCy3bJWz7rhKTzLay2,bB4avRqagOhnofPHAgX6ipIou3k1,ondee,referer,2019-07-17 23:01:27,2019-07-17 23:01:27
1770,bB4avRqagOhnofPHAgX6ipIou3k1,iCm067UnBPdCy3bJWz7rhKTzLay2,bB4avRqagOhnofPHAgX6ipIou3k1,iCm067UnBPdCy3bJWz7rhKTzLay2,ondee,referee,2019-07-17 23:01:27,2019-07-17 23:01:27
1771,VWAyzUPCYRVcTfGDGg2HZoYx1Xi2,9yKILYMx5RXQX2efg8FIrtu0t6z2,VWAyzUPCYRVcTfGDGg2HZoYx1Xi2,10217331369611055,facebook,upload_friends uploader,2019-07-17 23:03:26,2019-07-17 23:03:26
1772,9yKILYMx5RXQX2efg8FIrtu0t6z2,VWAyzUPCYRVcTfGDGg2HZoYx1Xi2,10217331369611055,VWAyzUPCYRVcTfGDGg2HZoYx1Xi2,facebook,upload_friends,2019-07-17 23:03:26,2019-07-17 23:03:26
1773,l2C0x3GslXcEp55csFe1EQKz0Vc2,nu2MhYx7H3e1pdpDZTGlJgrwHdp2,l2C0x3GslXcEp55csFe1EQKz0Vc2,10156505801212895,facebook,upload_friends uploader,2019-07-17 23:12:54,2019-07-17 23:12:54
1774,nu2MhYx7H3e1pdpDZTGlJgrwHdp2,l2C0x3GslXcEp55csFe1EQKz0Vc2,10156505801212895,l2C0x3GslXcEp55csFe1EQKz0Vc2,facebook,upload_friends,2019-07-17 23:12:54,2019-07-17 23:12:54
